sequence,label,command,pending count,ebilling count,csh count,total count,sessions
d+cN!TO]C,0,"['Lock SSH directory', 'Save SSH key', 'Get CPU counts', 'change password', 'Remove security features', 'Get CPU info', 'Get memery info', 'Get where ls is', 'Get system info']",0,0,1,1,['d0e115f1f6b1']
d+cNZNTO]C@*c<CCMK9,0,"['Lock SSH directory', 'Save SSH key', 'Get CPU counts', 'change password', 'password prompt', 'change password', 'Get CPU info', 'Get memery info', 'Get where ls is', 'Get system info', 'Get crontab deamon process', ""Get logged user's activity"", 'Get CPU counts', 'Get running processes', 'Get system info', 'Get system info', 'Get current username', 'Get CPU model', 'Get file system size']",1,1,0,2,"['529aa4056902', '0267297203f4']"
d+cNZNTO]C@*,0,"['Lock SSH directory', 'Save SSH key', 'Get CPU counts', 'change password', 'password prompt', 'change password', 'Get CPU info', 'Get memery info', 'Get where ls is', 'Get system info', 'Get crontab deamon process', ""Get logged user's activity""]",0,1,7,8,"['35dd3035bbc8', 'cce787864f89', 'ea60992f219f', 'd10329b0ce96', 'c6394d5e1be8', 'cb1569c1e4e0', '25f1bab17ce4', 'a92fcd9a2b8c']"
d+cNZNTOC@*Cc<CCMK9,0,"['Lock SSH directory', 'Save SSH key', 'Get CPU counts', 'change password', 'password prompt', 'change password', 'Get CPU info', 'Get memery info', 'Get system info', 'Get crontab deamon process', ""Get logged user's activity"", 'Get system info', 'Get CPU counts', 'Get running processes', 'Get system info', 'Get system info', 'Get current username', 'Get CPU model', 'Get file system size']",1,0,0,1,['32481e35d2ba']
d+cNZNTO]Cc<CCMK9,0,"['Lock SSH directory', 'Save SSH key', 'Get CPU counts', 'change password', 'password prompt', 'change password', 'Get CPU info', 'Get memery info', 'Get where ls is', 'Get system info', 'Get CPU counts', 'Get running processes', 'Get system info', 'Get system info', 'Get current username', 'Get CPU model', 'Get file system size']",0,0,1,1,['778bb2aaef6b']
d+cNZNTO]C@*Cc<CC,0,"['Lock SSH directory', 'Save SSH key', 'Get CPU counts', 'change password', 'password prompt', 'change password', 'Get CPU info', 'Get memery info', 'Get where ls is', 'Get system info', 'Get crontab deamon process', ""Get logged user's activity"", 'Get system info', 'Get CPU counts', 'Get running processes', 'Get system info', 'Get system info']",1,0,8,9,"['f65ede6bff59', 'bb42945d84b8', 'c24da65d5779', 'b34a3f75de82', 'f965fbc00a0a', '28ee1a555861', 'e454dbee88ee', '53c5c296b3bc', '7eb6d538e203']"
d+cNZNTO]C@Cc<CCMK9,0,"['Lock SSH directory', 'Save SSH key', 'Get CPU counts', 'change password', 'password prompt', 'change password', 'Get CPU info', 'Get memery info', 'Get where ls is', 'Get system info', 'Get crontab deamon process', 'Get system info', 'Get CPU counts', 'Get running processes', 'Get system info', 'Get system info', 'Get current username', 'Get CPU model', 'Get file system size']",1,0,0,1,['c46fd439699c']
d+c!O@*Cc<K9,0,"['Lock SSH directory', 'Save SSH key', 'Get CPU counts', 'Remove security features', 'Get memery info', 'Get crontab deamon process', ""Get logged user's activity"", 'Get system info', 'Get CPU counts', 'Get running processes', 'Get CPU model', 'Get file system size']",1,0,0,1,['8305011e8d97']
d+cN!TO]C@*Cc<CCM,0,"['Lock SSH directory', 'Save SSH key', 'Get CPU counts', 'change password', 'Remove security features', 'Get CPU info', 'Get memery info', 'Get where ls is', 'Get system info', 'Get crontab deamon process', ""Get logged user's activity"", 'Get system info', 'Get CPU counts', 'Get running processes', 'Get system info', 'Get system info', 'Get current username']",0,0,1,1,['03257441d1c2']
d+cNZNTO]C,0,"['Lock SSH directory', 'Save SSH key', 'Get CPU counts', 'change password', 'password prompt', 'change password', 'Get CPU info', 'Get memery info', 'Get where ls is', 'Get system info']",1,0,7,8,"['2bf99897563a', 'c6e6697a8aab', '796a5f856adf', '387f08a3754e', '2e7947c68c2f', 'fcae34e34575', '5749480eef4e', '738cc5f8cfdc']"
