session,step
000181fedf2f,4.2915659099634557e-91
0004ab60e435,4.2915659099634557e-91
0005227d7746,4.2915659099634557e-91
000cb484af4e,4.2915659099634557e-91
001774d07c89,4.2915659099634557e-91
002b76ad175e,4.2915659099634557e-91
002f1c891499,4.2915659099634557e-91
0036dff3bea6,4.2915659099634557e-91
00397f537949,4.2915659099634557e-91
003e7b0714d3,4.2915659099634557e-91
003f0eecafaf,4.2915659099634557e-91
003fa6767f25,4.2915659099634557e-91
004783e22477,4.2915659099634557e-91
004808ccf11f,4.2915659099634557e-91
0054379ce610,4.2915659099634557e-91
005730d3ed26,4.2915659099634557e-91
0057be8f4c3e,4.2915659099634557e-91
00585cb54f16,4.2915659099634557e-91
0058662b97c6,4.2915659099634557e-91
006358efc94c,4.2915659099634557e-91
0075b632475c,4.2915659099634557e-91
00769d279d6e,4.2915659099634557e-91
0080f42877bc,4.2915659099634557e-91
008450085f44,4.2915659099634557e-91
0086ff3b5394,4.2915659099634557e-91
008799f16700,4.2915659099634557e-91
0099cc3b9fdf,4.2915659099634557e-91
00b19ba64869,4.2915659099634557e-91
00b93c8c47f5,4.2915659099634557e-91
00ccba940790,4.2915659099634557e-91
00cfc34f2444,4.2915659099634557e-91
00d4c4892e9e,4.2915659099634557e-91
00d577150af4,4.2915659099634557e-91
00d829206b4d,4.2915659099634557e-91
00dd40c951f2,4.2915659099634557e-91
00e2caad6a14,4.2915659099634557e-91
00e757f5460f,4.2915659099634557e-91
00ef24f5fe75,4.2915659099634557e-91
00ff702cb337,4.2915659099634557e-91
01040d348066,4.2915659099634557e-91
010427278b71,4.2915659099634557e-91
011a21872234,4.2915659099634557e-91
011a53327de3,4.2915659099634557e-91
011afe9b784b,4.2915659099634557e-91
011c0769d149,4.2915659099634557e-91
0121d7c6db8a,4.2915659099634557e-91
01256a1430f0,4.2915659099634557e-91
0126ad40c6b4,4.2915659099634557e-91
012a3704a387,4.2915659099634557e-91
012c58defa20,4.2915659099634557e-91
012f35e633b2,4.2915659099634557e-91
01343436a2da,4.2915659099634557e-91
0138ddc3b988,4.2915659099634557e-91
013dad64f610,4.2915659099634557e-91
