src_ip,session,clean,unrated,suspicious,malicious
1.215.240.130,540407e16d98,51,29,3,5
1.215.240.130,d54673bd9807,51,29,3,5
1.215.240.130,34de2529721f,51,29,3,5
1.215.240.130,6dd24f51f44b,51,29,3,5
1.254.101.182,f3fd2a369206,54,30,3,4
1.254.101.182,5e9a65cd5965,54,30,3,4
1.254.101.182,ee07923da77b,54,30,3,4
1.254.101.182,c14eed4cdcad,54,30,3,4
1.254.101.182,4a1028750e8e,54,30,3,4
1.254.101.182,e2f9df3d6ddc,54,30,3,4
101.126.90.87,c7874b8d3531,57,30,2,2
101.36.65.131,155c405dbc23,53,30,2,4
101.36.65.131,b15f8dc514b6,53,30,2,4
101.36.65.131,85f6574f5b1c,53,30,2,4
101.36.65.131,81d285ab4078,53,30,2,4
101.36.65.131,d681e4392d32,53,30,2,4
101.42.226.94,f26d09d8a67f,55,28,3,5
101.42.226.94,e3b7c53148c1,55,28,3,5
101.42.226.94,996f2ea71c9a,55,28,3,5
101.89.110.186,fc3fca6dd9d6,59,32,1,2
101.89.133.58,52e5a569b2fb,55,31,2,2
101.89.140.179,4996bbb591d7,55,28,2,8
103.10.44.109,a635927ddc2c,53,30,2,4
103.10.44.109,8504a29a45e8,53,30,2,4
103.10.44.109,d10329b0ce96,53,30,2,4
103.10.44.109,6c13dfff996f,53,30,2,4
103.10.44.109,42c340bb0abd,53,30,2,4
103.113.105.169,8f657a64b17d,57,30,2,4
103.137.75.74,c51339a50ea3,51,29,2,6
103.139.193.99,eae85f83fed3,52,30,2,6
103.142.87.225,73756c0ea420,53,30,2,4
103.143.72.99,feb45e57dbe9,56,30,3,1
103.143.72.99,e6e609db5165,56,30,3,1
103.143.72.99,777896a0d773,56,30,3,1
103.143.72.99,36f915e661c8,56,30,3,1
103.143.72.99,3b5323f433ab,56,30,3,1
103.144.245.127,b10f4d00f7b9,56,31,1,2
103.144.245.127,5b525ec76b2f,56,31,1,2
103.144.245.127,9781b74c21f6,56,31,1,2
103.144.245.127,83ad5c8b63a0,56,31,1,2
103.144.245.127,edd5c7b2d237,56,31,1,2
103.148.100.146,5531000e4f0f,53,30,3,5
103.148.100.146,0caed5af4a54,53,30,3,5
103.148.100.146,2a0f65fb70f8,53,30,3,5
103.148.101.241,ffedbe59000b,56,32,1,2
103.149.26.91,0d668389095f,52,29,2,5
103.149.26.91,ff9e7c246c28,52,29,2,5
103.152.18.138,4e3a294ee831,52,30,2,5
103.152.18.138,5fe9292eb6e0,52,30,2,5
103.152.18.138,e20036ecdcf1,52,30,2,5
103.162.20.168,266ba1c23b5e,54,30,2,3
103.162.20.168,3c8165675f71,54,30,2,3
103.162.20.168,7f03be7d71b2,54,30,2,3
103.162.20.168,3c2ba3a3d1cb,54,30,2,3
103.162.20.168,75985197e084,54,30,2,3
103.17.48.8,0201de160942,53,28,2,5
103.17.48.8,179430549ca0,53,28,2,5
