src_ip,session,clean,unrated,suspicious,malicious
1.234.58.162,fc8522916e12,58,33,1,1
1.234.58.162,e4d026e49648,58,33,1,1
1.234.58.162,6b8f083e7835,58,33,1,1
1.234.58.162,4ad7b57f2662,58,33,1,1
1.234.58.162,5833255fe0f7,58,33,1,1
1.234.58.162,10bb8a4f8d5d,58,33,1,1
1.238.106.229,a193f1fb2a0e,51,30,3,5
1.238.106.229,be7bd527543b,51,30,3,5
1.238.106.229,b03dc2c436f6,51,30,3,5
1.238.106.229,61da16979cd7,51,30,3,5
1.83.124.200,947ec19c1624,56,31,2,2
101.126.70.191,ee4e6456a443,55,30,2,4
101.126.70.240,436be7b553f5,57,32,1,1
101.126.71.44,f0570bf48468,60,30,1,1
101.126.88.245,61055f927956,57,30,3,1
101.126.90.24,cd2ba2c9f26c,56,30,4,3
101.126.91.34,dd11930293a8,55,30,4,2
101.34.251.226,1e92b058713f,56,31,2,3
101.36.105.7,d51b0783259e,53,31,1,5
101.36.105.7,8731c9e1c93d,53,31,1,5
101.36.105.7,ad705a3ce049,53,31,1,5
101.36.105.7,6eb59f906b7b,53,31,1,5
101.36.105.7,7c1f1d9a8eca,53,31,1,5
101.36.105.7,0eba56714d55,53,31,1,5
101.36.107.228,abb381e76367,53,30,2,5
101.36.107.228,f7c948cf2475,53,30,2,5
101.36.107.228,36bd2314b0d1,53,30,2,5
101.36.107.228,af759a2397d5,53,30,2,5
101.36.107.228,aa7c76749f78,53,30,2,5
101.36.107.228,2acce3d08dbb,53,30,2,5
101.36.107.228,5edaaeb74bbe,53,30,2,5
101.36.107.228,f38299cdfa4b,53,30,2,5
101.36.107.228,85b4c9b6e7c5,53,30,2,5
101.36.107.228,ec1e252e0f0f,53,30,2,5
101.36.107.228,62ff5739f1bb,53,30,2,5
101.36.107.228,1e6ca785c7c7,53,30,2,5
101.37.36.223,324c5e429734,60,33,0,0
101.89.119.98,9ae2b9c87c7d,55,26,3,7
101.91.185.70,0f909bcea250,54,27,3,8
101.91.185.70,09ab508d5263,54,27,3,8
101.91.185.70,2fbf33622fd4,54,27,3,8
101.91.185.70,d93f0a22060f,54,27,3,8
102.140.97.134,8486a12fdd76,51,29,3,5
102.140.97.134,aa7c1781d604,51,29,3,5
103.113.105.228,b77a08644093,53,28,3,3
103.113.105.228,726d67fd6d8f,53,28,3,3
103.113.105.228,cce4ce448677,53,28,3,3
103.113.105.228,a677969ceeea,53,28,3,3
103.113.105.228,9a0113ef5134,53,28,3,3
103.126.160.116,6f41a1a0ac77,54,29,2,5
103.13.120.180,d51167b01ed7,61,30,1,2
103.13.120.180,ddb20237214f,61,30,1,2
103.13.120.180,d3b135975706,61,30,1,2
103.13.120.180,e2eb60f01ddc,61,30,1,2
103.130.213.118,86caf9995196,51,29,2,6
103.130.213.118,5173173fadd7,51,29,2,6
103.130.213.118,48add34790cc,51,29,2,6
103.130.213.118,fd989652d332,51,29,2,6
103.130.213.118,9d97660e0940,51,29,2,6
103.130.213.118,16868719b5f1,51,29,2,6
103.130.213.118,afd8f903be68,51,29,2,6
103.130.213.118,33c8ce600ba9,51,29,2,6
103.130.213.118,df15b9dcaf59,51,29,2,6
103.130.213.139,b755fa9b4342,55,31,1,3
103.130.213.139,f998abbce891,55,31,1,3
103.130.213.139,3d6462aa3ba7,55,31,1,3
103.130.213.139,2d5ae58a93b2,55,31,1,3
103.130.213.139,7925f9a01bea,55,31,1,3
103.130.213.139,86d4fabcf593,55,31,1,3
103.130.214.174,e995d0811b95,55,31,1,3
103.130.214.174,ce8662fba3e9,55,31,1,3
103.130.214.174,a33f558a5381,55,31,1,3
103.130.214.174,6599c6317eaf,55,31,1,3
103.130.215.82,125fdf219ed2,56,31,1,2
103.130.215.82,9fe1d390a44c,56,31,1,2
103.130.215.82,8faf00b9e4a2,56,31,1,2
103.130.215.82,15f6415465dd,56,31,1,2
103.132.242.155,7fa74774d03d,52,29,2,5
103.132.242.155,586cdcf033bd,52,29,2,5
103.132.242.155,9a32a097d6c4,52,29,2,5
103.132.242.155,8ae533d6351a,52,29,2,5
103.132.242.155,1048ef81ffa9,52,29,2,5
103.132.242.155,58b11b419e3d,52,29,2,5
103.132.242.155,af484ab51045,52,29,2,5
103.132.242.155,ec9d02e1a84b,52,29,2,5
103.137.75.74,71d358023b4d,51,29,2,6
103.139.193.211,d3b477d1f717,55,31,2,3
103.139.193.211,26eb1eae662b,55,31,2,3
103.139.193.211,f7e84a23c305,55,31,2,3
103.139.193.211,348915d4323c,55,31,2,3
103.148.101.241,b17c1f709e5a,56,32,1,2
103.148.101.241,a7e5b4fc8915,56,32,1,2
103.148.101.241,ca7cfdc071df,56,32,1,2
103.148.101.241,6b2631b72e7e,56,32,1,2
103.148.101.241,ccc36e381ea7,56,32,1,2
103.148.101.241,1d431ebda2eb,56,32,1,2
103.149.27.228,07a7a02415d6,53,29,2,5
103.149.27.228,d769f7d2463c,53,29,2,5
103.149.27.228,6f95bec59f72,53,29,2,5
103.149.27.228,49fba10fc4d6,53,29,2,5
103.149.27.228,9edb82b0824e,53,29,2,5
103.149.28.105,665a7f573cf9,51,30,2,7
103.149.28.105,c311f522b3c0,51,30,2,7
103.149.28.105,4c47d521b2e7,51,30,2,7
103.149.28.105,93cb7250e78a,51,30,2,7
