src_ip,session,clean,unrated,suspicious,malicious
1.180.160.134,72d12a9b8ac8,59,29,3,1
1.95.1.249,95bb5edb4e3b,57,31,2,2
1.95.1.249,99c5d67cfb12,57,31,2,2
1.95.1.249,797792218015,57,31,2,2
1.95.1.249,c2d7379f56f8,57,31,2,2
1.95.1.249,8de2933feaf4,57,31,2,2
1.95.1.249,ccd5faaaad54,57,31,2,2
1.95.1.249,e76bb47837f1,57,31,2,2
1.95.1.249,831d895c3981,57,31,2,2
101.126.17.116,5e895adf0cdc,56,28,4,3
101.126.3.175,a640ebea7e69,52,30,2,6
101.126.5.109,83a25c28ad9a,53,31,2,4
101.126.64.102,abbdef186089,57,31,1,1
101.126.64.102,92714ff4579b,57,31,1,1
101.126.64.102,61efdac74434,57,31,1,1
101.126.64.102,f881e4fd9ac5,57,31,1,1
101.126.64.102,697c70d12cef,57,31,1,1
101.126.64.102,f1fcfabe4ad5,57,31,1,1
101.126.67.197,30a9624662fa,56,30,2,2
101.126.67.197,1606ecdfe340,56,30,2,2
101.126.67.197,c2fafc72f4fc,56,30,2,2
101.126.67.197,4ef0cee02d20,56,30,2,2
101.126.67.226,f5e5f815e3cc,56,33,1,2
101.126.67.226,b7f91cf7e7ce,56,33,1,2
101.126.67.226,812be57f4b1b,56,33,1,2
101.126.67.226,1d223e2401ce,56,33,1,2
101.126.67.226,f0d949d87946,56,33,1,2
101.126.69.200,d85ec48e14d3,53,29,3,6
101.126.69.203,f965fbc00a0a,56,28,4,2
101.126.70.175,d2b0cb8bce31,56,28,4,2
101.126.70.175,3d80ad6dd00e,56,28,4,2
101.126.88.251,e75252abce93,55,30,4,3
101.126.88.251,6232431d268f,55,30,4,3
101.126.88.251,8a68e04cedeb,55,30,4,3
101.126.88.251,259fd3f8b86f,55,30,4,3
101.126.91.34,a10c161a82d2,55,30,4,2
101.254.166.52,fef0464ca60a,56,30,3,2
101.254.166.52,0fc8983509ab,56,30,3,2
101.254.166.52,8672cdf3a4d0,56,30,3,2
101.254.166.52,5a3646ddd918,56,30,3,2
101.32.114.105,b6ccb09af3a1,56,31,2,2
101.32.114.105,dbb02e953bfc,56,31,2,2
101.32.127.191,ac0a2b7ae199,56,31,2,2
101.32.127.191,e96d2ccf5791,56,31,2,2
101.32.127.191,fbe3f135a093,56,31,2,2
101.32.127.191,c33601ec3e89,56,31,2,2
101.35.19.119,a69373032d70,57,31,1,3
101.36.117.39,559a1243a7be,55,32,1,4
101.36.127.102,5fc008b6fce8,55,30,2,3
101.37.36.223,5b576a8f6281,60,33,0,0
101.43.60.89,775b9225e047,55,31,1,4
101.43.60.89,9987d56f939c,55,31,1,4
101.43.60.89,b85e7641d68c,55,31,1,4
101.43.60.89,b8c1ea7a2849,55,31,1,4
101.43.60.89,8c800215e97a,55,31,1,4
101.43.60.89,d183ddb7a636,55,31,1,4
101.43.60.89,796a5f856adf,55,31,1,4
101.43.60.89,76b858535c8f,55,31,1,4
101.47.5.97,527f2e6002d8,55,30,3,4
101.47.5.97,ecd33f13e376,55,30,3,4
101.91.211.220,6d8d0b6708f6,60,32,0,1
101.91.211.220,9ee885b859d5,60,32,0,1
101.91.211.220,64094f362313,60,32,0,1
103.1.100.53,e7032fbb23a8,53,30,0,5
103.1.100.53,2a575ff4e729,53,30,0,5
103.1.100.53,55f89f5dd83a,53,30,0,5
